site,model,h,support,analysis,scope,selected_alpha,points,origins,SSE,SAE,signed_error,RMSE,MAE,bias
NIST_GROUND,Ridge+day,12,common_H144,daily_matched,low-power,1000.0,167455,15038,7542148.057093118,743045.3546003323,361203.2944308604,6.711173507871419,4.437283775344614,2.15701707581655
NIST_GROUND,Ridge+day,48,horizon_specific,primary,full,1000.0,1163520,24240,986725620.9240724,21289625.81678155,2394778.5480643567,29.121334716925222,18.297601946491294,2.058218636606467
NIST_GROUND,Ridge+day,48,horizon_specific,primary,power-active,1000.0,413664,12577,844491029.9061519,14065176.947823675,-1857586.505264866,45.182853686288766,34.00145274382996,-4.49056844507829
NIST_GROUND,Ridge+day,48,horizon_specific,primary,low-power,1000.0,749856,19604,142234591.0179206,7224448.868957873,4252365.053329222,13.77252846811308,9.634448306018587,5.6709088856116665
NIST_GROUND,Ridge+day,48,horizon_specific,daily_matched,full,1000.0,1154170,24240,962329415.9526056,20954354.592063587,2323190.8923167237,28.875332232809868,18.155345046278786,2.0128671619577045
NIST_GROUND,Ridge+day,48,horizon_specific,daily_matched,power-active,1000.0,410266,12574,828356525.0267462,13896403.480182687,-1789699.0184612314,44.93408321028232,33.87169173215106,-4.362289388984784
NIST_GROUND,Ridge+day,48,horizon_specific,daily_matched,low-power,1000.0,743904,19599,133972890.9258594,7057951.111880891,4112889.9107779525,13.419922799029425,9.487717651579896,5.528791229483848
NIST_GROUND,Ridge+day,48,common_H144,primary,full,1000.0,1050480,21885,875608883.7111686,19067976.35756232,2201644.196065092,28.870957367224587,18.151679572730863,2.095845895271773
NIST_GROUND,Ridge+day,48,common_H144,primary,power-active,1000.0,369075,11242,745803343.191581,12496176.614988642,-1553218.1848770753,44.95260340303299,33.85809554965425,-4.208408006169682
NIST_GROUND,Ridge+day,48,common_H144,primary,low-power,1000.0,681405,17742,129805540.51958768,6571799.742573668,3754862.380942166,13.802061460175512,9.644484179854372,5.510470837375959
NIST_GROUND,Ridge+day,48,common_H144,daily_matched,full,1000.0,1041445,21885,851578779.5177977,18741000.090821728,2134561.2425173144,28.595272908138547,17.995189463506694,2.0496149508781687
NIST_GROUND,Ridge+day,48,common_H144,daily_matched,power-active,1000.0,365900,11239,729974136.7832236,12334062.816630596,-1482296.8637893929,44.66553413183185,33.70883524632576,-4.051098288574455
NIST_GROUND,Ridge+day,48,common_H144,daily_matched,low-power,1000.0,675545,17738,121604642.73457406,6406937.2741911225,3616858.106306705,13.416768803265258,9.484101391011883,5.3539854581215245
NIST_GROUND,Ridge+day,96,horizon_specific,primary,full,1000.0,2211552,23037,2520712029.9566636,48184936.36812829,8010628.198594829,33.760824112043935,21.787837847868055,3.6221749244850807
NIST_GROUND,Ridge+day,96,horizon_specific,primary,power-active,1000.0,775182,15700,2158787857.425036,31188871.96391048,-3638172.226929519,52.77195014335214,40.23425719883908,-4.693313604972147
NIST_GROUND,Ridge+day,96,horizon_specific,primary,low-power,1000.0,1436370,22114,361924172.53162783,16996064.404217795,11648800.425524345,15.873607304302972,11.832650643091817,8.109888416998645
NIST_GROUND,Ridge+day,96,horizon_specific,daily_matched,full,1000.0,2194678,23037,2464024016.072351,47464784.01059266,7829118.184363009,33.50711707714015,21.62722003437072,3.5673197545895157
NIST_GROUND,Ridge+day,96,horizon_specific,daily_matched,power-active,1000.0,769372,15697,2123932075.58599,30859209.083887555,-3465498.8858420867,52.54145840392237,40.10960768508284,-4.504321558156636
