site,model,seed,neural_source,lead,lead_hours,scope,points,origins,SSE,SAE,signed_error,RMSE,MAE,bias
Hanwha,TCN,42,TCN,20,1.6666666666666667,full,4512,4512,493.63851120543063,923.3800702124308,-428.8287742378516,0.3307653222534958,0.20464983825630115,-0.09504183826193519
Hanwha,TCN,42,TCN,20,1.6666666666666667,power-active,1325,1325,398.344937775336,501.54330280516297,-358.54289083275944,0.5483043761334083,0.378523247400123,-0.2705984081756675
Hanwha,TCN,42,TCN,21,1.75,full,4512,4512,563.0739815255783,980.4761753608254,-486.34073569803877,0.3532630258165122,0.21730411687961557,-0.10778828362101923
Hanwha,TCN,42,TCN,21,1.75,power-active,1339,1339,463.662483395704,544.9187802090892,-410.51775343116606,0.5884515213478739,0.4069595072510001,-0.30658532743178946
Hanwha,TCN,42,TCN,22,1.8333333333333333,full,4512,4512,631.848330456501,1047.8620732330528,-489.32596256436227,0.3742155893091921,0.2322389346704461,-0.10844990305061221
Hanwha,TCN,42,TCN,22,1.8333333333333333,power-active,1352,1352,518.7940679276035,579.7313133013085,-418.39103026507655,0.6194541331070246,0.42879535007493236,-0.3094608212019797
Hanwha,TCN,42,TCN,23,1.9166666666666667,full,4512,4512,715.1493579274103,1116.3165008468368,-541.0714544706989,0.3981198493346777,0.2474105719961961,-0.11991831880999532
Hanwha,TCN,42,TCN,23,1.9166666666666667,power-active,1365,1365,589.6494207461462,623.3225317532197,-486.6211418369785,0.6572500267145102,0.4566465434089521,-0.35649900500877546
Hanwha,TCN,42,TCN,24,2.0,full,4512,4512,816.6524245591193,1204.8616051686477,-647.1140169423234,0.42543584883203717,0.2670349302235478,-0.14342065978331633
Hanwha,TCN,42,TCN,24,2.0,power-active,1378,1378,676.3317790723632,676.857260796125,-556.9586530503584,0.7005760531829803,0.4911881428128629,-0.4041789935053399
Hanwha,TCN,42,TCN,25,2.0833333333333335,full,4512,4512,913.1133027723895,1273.8130113975421,-693.7753045623613,0.4498604252545368,0.2823167135189588,-0.1537622572168354
Hanwha,TCN,42,TCN,25,2.0833333333333335,power-active,1391,1391,766.4694752206781,731.462001824053,-605.2423407819588,0.7423075313122608,0.5258533442300884,-0.43511311343059583
Hanwha,TCN,42,TCN,26,2.1666666666666665,full,4512,4512,1018.8889882156695,1325.109026578044,-711.7158308391445,0.4752026882351941,0.29368551120967284,-0.15773843768598061
Hanwha,TCN,42,TCN,26,2.1666666666666665,power-active,1404,1404,872.4748812880853,789.5439416817389,-668.5110906562768,0.7883025152936494,0.5623532348160534,-0.4761475004674336
Hanwha,TCN,42,TCN,27,2.25,full,4512,4512,1121.797630710283,1393.4388602679282,-762.8971880810168,0.4986234665720078,0.3088295346338493,-0.16908182359951612
Hanwha,TCN,42,TCN,27,2.25,power-active,1417,1417,965.2279693065261,834.2759260011371,-714.2821313065942,0.8253345461877437,0.5887621213840064,-0.5040805443236375
Hanwha,TCN,42,TCN,28,2.3333333333333335,full,4512,4512,1232.9408778451523,1448.593377530009,-794.99468455036,0.5227410193215029,0.3210534967929985,-0.1761956304411259
Hanwha,TCN,42,TCN,28,2.3333333333333335,power-active,1430,1430,1068.8398677184887,876.6980491534341,-744.3861825421918,0.8645463937441449,0.6130755588485554,-0.5205497780015328
Hanwha,TCN,42,TCN,29,2.4166666666666665,full,4512,4512,1371.5164332413146,1526.6006161361402,-893.5461327461562,0.5513355064755452,0.33834233513655587,-0.19803770672565518
Hanwha,TCN,42,TCN,29,2.4166666666666665,power-active,1443,1443,1200.020398021488,941.2973811401753,-827.3361974357395,0.911929255723194,0.6523197374498789,-0.5733445581675256
Hanwha,TCN,42,TCN,30,2.5,full,4512,4512,1482.8163132605623,1601.4132950023177,-910.8791503071244,0.5732698904535773,0.35492315935335056,-0.201879244305657
Hanwha,TCN,42,TCN,30,2.5,power-active,1456,1456,1296.3691552282762,993.425290484447,-857.3376505491324,0.9435907114785792,0.6822975896184389,-0.5888308039485799
Hanwha,TCN,42,TCN,31,2.5833333333333335,full,4512,4512,1607.0286661500131,1682.2593070388793,-920.2509319679775,0.5967978726764364,0.37284115847492894,-0.2039563235744631
Hanwha,TCN,42,TCN,31,2.5833333333333335,power-active,1469,1469,1400.9388336155143,1050.0087400749326,-910.1060046553612,0.976559454767984,0.7147779033866117,-0.6195411876483058
Hanwha,TCN,42,TCN,32,2.6666666666666665,full,4512,4512,1773.177534604113,1786.2205510539134,-1020.5567684729249,0.6268903212428254,0.39588221432932474,-0.22618722705516953
Hanwha,TCN,42,TCN,32,2.6666666666666665,power-active,1482,1482,1546.7494962005355,1123.6935894928174,-988.5788281626301,1.0216117747065099,0.7582277931800387,-0.6670572389761337
Hanwha,TCN,42,TCN,33,2.75,full,4512,4512,1899.5725536069986,1847.5580847534948,-1054.8280608627028,0.6488486382205791,0.4094765258762178,-0.23378281490751393
Hanwha,TCN,42,TCN,33,2.75,power-active,1495,1495,1659.401584071754,1164.603825197788,-1009.0712579276878,1.0535500058201865,0.7789992141791223,-0.6749640521255437
Hanwha,TCN,42,TCN,34,2.8333333333333335,full,4512,4512,2010.041654642549,1887.5138403937963,-1035.8508454662006,0.6674488410154784,0.41833196817238394,-0.2295768717788565
Hanwha,TCN,42,TCN,34,2.8333333333333335,power-active,1508,1508,1761.6922979545107,1200.5413721981458,-1028.5508273947053,1.0808473374225132,0.7961149683011577,-0.6820628828877355
Hanwha,TCN,42,TCN,35,2.9166666666666665,full,4512,4512,2143.3514159737624,1963.3224676811196,-1059.6063186827787,0.6892267830727584,0.435133525638546,-0.2348418259491974
