site,scope,block_hours,blocks,nonempty_blocks,points,reference,rmse_B,rmse_reference,effect_kW,ci_low_kW,ci_high_kW,skill,skill_ci_low,skill_ci_high,replicates,valid_replicates
Qcells,full,48,12,12,431150,Inverted42,0.2365203074245268,0.8464913230352182,-0.6099710156106914,-0.7276475749317106,-0.496909427897061,0.7205874401920049,0.6725468539776817,0.7674493186371902,2000,2000
Qcells,full,48,12,12,431150,Inverted43,0.2365203074245268,0.8685733136652152,-0.6320530062406884,-0.7458880066033394,-0.5275532585940894,0.727691026533551,0.6738152657114136,0.7779857576731223,2000,2000
Qcells,full,48,12,12,431150,Inverted44,0.2365203074245268,0.8157764600124328,-0.579256152587906,-0.687286150402125,-0.4867807606808259,0.7100672561440151,0.6571722047184312,0.7622748377375087,2000,2000
Qcells,full,48,12,12,431150,Inverted mean,0.2365203074245268,0.8436136989042887,-0.6070933914797619,-0.7197858184469307,-0.5047330519439306,0.719448574289857,0.6679631806420268,0.7691325665215246,2000,2000
Qcells,full,72,8,8,431150,Ridge A,0.2365203074245268,0.839062913771377,-0.6025426063468502,-0.6677327238752119,-0.5382864091261285,0.7181137390980286,0.6703025481951397,0.7728662585788018,2000,2000
Qcells,full,72,8,8,431150,Daily,0.2365203074245268,0.2436161755763381,-0.007095868151811319,-0.03734635530052821,0.028460474459201704,0.02912724549190615,-0.17221081936232094,0.10978103417688226,2000,2000
Qcells,full,72,8,8,431150,Inverted42,0.2365203074245268,0.8464913230352182,-0.6099710156106914,-0.7029407562372323,-0.5210027670723998,0.7205874401920049,0.6873818535503384,0.7677716253119294,2000,2000
Qcells,full,72,8,8,431150,Inverted43,0.2365203074245268,0.8685733136652152,-0.6320530062406884,-0.7035065221031811,-0.5615709699244811,0.727691026533551,0.6844569059386498,0.7789594677330082,2000,2000
Qcells,full,72,8,8,431150,Inverted44,0.2365203074245268,0.8157764600124328,-0.579256152587906,-0.65781257465299,-0.4974474636977805,0.7100672561440151,0.6664610406057194,0.7645627884414904,2000,2000
Qcells,full,72,8,8,431150,Inverted mean,0.2365203074245268,0.8436136989042887,-0.6070933914797619,-0.6876441770237738,-0.5276676171962571,0.719448574289857,0.6793322354963571,0.7698669123865867,2000,2000
Qcells,power-active,24,24,24,187950,Ridge A,0.3508946553140599,1.1683194382786224,-0.8174247829645624,-0.9124751761821682,-0.7356922930310895,0.6996586346016285,0.6561489732836752,0.7446336678147039,2000,2000
Qcells,power-active,24,24,24,187950,Daily,0.3508946553140599,0.3689751735852708,-0.018080518271210932,-0.07866358335373838,0.046130000158965186,0.0490019913684856,-0.17655429490393557,0.16549980045851329,2000,2000
Qcells,power-active,24,24,24,187950,Inverted42,0.3508946553140599,1.2344414789660443,-0.8835468236519843,-1.0093896981191672,-0.7566203587083741,0.7157462210294767,0.6772814532856034,0.7576263716367385,2000,2000
Qcells,power-active,24,24,24,187950,Inverted43,0.3508946553140599,1.2563347420548112,-0.9054400867407513,-1.0467845670325282,-0.7815618816887673,0.7206997119731398,0.674166921582077,0.7668130172052816,2000,2000
