site,category,key,value
NIST_GROUND,file,03/onemin-Ground-2017-03-27.csv,"{""file"": ""03/onemin-Ground-2017-03-27.csv"", ""size"": 853614, ""mtime_ns"": 1490544000000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,03/onemin-Ground-2017-03-28.csv,"{""file"": ""03/onemin-Ground-2017-03-28.csv"", ""size"": 857872, ""mtime_ns"": 1490630400000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,03/onemin-Ground-2017-03-29.csv,"{""file"": ""03/onemin-Ground-2017-03-29.csv"", ""size"": 857666, ""mtime_ns"": 1490716800000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,03/onemin-Ground-2017-03-30.csv,"{""file"": ""03/onemin-Ground-2017-03-30.csv"", ""size"": 852843, ""mtime_ns"": 1490803200000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,03/onemin-Ground-2017-03-31.csv,"{""file"": ""03/onemin-Ground-2017-03-31.csv"", ""size"": 846459, ""mtime_ns"": 1490889600000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,04/onemin-Ground-2017-04-01.csv,"{""file"": ""04/onemin-Ground-2017-04-01.csv"", ""size"": 848235, ""mtime_ns"": 1490976000000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,04/onemin-Ground-2017-04-02.csv,"{""file"": ""04/onemin-Ground-2017-04-02.csv"", ""size"": 854408, ""mtime_ns"": 1491062400000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,04/onemin-Ground-2017-04-03.csv,"{""file"": ""04/onemin-Ground-2017-04-03.csv"", ""size"": 855411, ""mtime_ns"": 1491148800000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,04/onemin-Ground-2017-04-04.csv,"{""file"": ""04/onemin-Ground-2017-04-04.csv"", ""size"": 857760, ""mtime_ns"": 1491235200000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,04/onemin-Ground-2017-04-05.csv,"{""file"": ""04/onemin-Ground-2017-04-05.csv"", ""size"": 859877, ""mtime_ns"": 1491321600000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,04/onemin-Ground-2017-04-06.csv,"{""file"": ""04/onemin-Ground-2017-04-06.csv"", ""size"": 856429, ""mtime_ns"": 1491408000000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,04/onemin-Ground-2017-04-07.csv,"{""file"": ""04/onemin-Ground-2017-04-07.csv"", ""size"": 846133, ""mtime_ns"": 1491494400000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,04/onemin-Ground-2017-04-08.csv,"{""file"": ""04/onemin-Ground-2017-04-08.csv"", ""size"": 857896, ""mtime_ns"": 1491580800000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
