site,model,seed,horizon,scope,analysis,forecast_origin_count,valid_target_count,RMSE,MAE,bias,R2,nRMSE,last_value_skill,daily_skill,parameter_count,best_epoch,best_validation_mse,training_seconds
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,43,144,full,primary,26280,3784320,16.590402504591058,10.432248078136519,-1.0894046743868926,0.7662997707445183,0.150886385115938,0.6546583008789868,,140432.0,12.0,0.027561055259709335,138.18017970000074
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,43,144,full,supplementary_daily_matched,26280,3784320,16.590402504591058,10.432248078136519,-1.0894046743868926,0.7662997707445183,0.150886385115938,0.6546583008789868,-0.03263401689629308,140432.0,12.0,0.027561055259709335,138.18017970000074
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,43,144,daylight,primary,26192,1963842,21.752000821801033,16.28593031759647,-5.006734069153226,0.5410241942386567,0.19783008713213684,0.5841177151430266,,140432.0,12.0,0.027561055259709335,138.18017970000074
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,43,144,daylight,supplementary_daily_matched,26192,1963842,21.752000821801033,16.28593031759647,-5.006734069153226,0.5410241942386567,0.19783008713213684,0.5841177151430266,0.0202240147371473,140432.0,12.0,0.027561055259709335,138.18017970000074
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,44,12,full,primary,26412,316944,12.351739509590406,6.78314408939493,0.7760895223425227,0.8703196922376485,0.11233659484633125,0.0077780177401013395,,140432.0,8.0,0.03156278338180554,103.30851129999792
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,44,12,full,supplementary_daily_matched,26412,316944,12.351739509590406,6.78314408939493,0.7760895223425227,0.8703196922376485,0.11233659484633125,0.0077780177401013395,0.2350652409058238,140432.0,8.0,0.03156278338180554,103.30851129999792
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,44,12,daylight,primary,14784,164664,16.093255313227164,10.383647332795677,-0.5762646259610763,0.7484575314719579,0.14636493106714796,0.06499627331407976,,140432.0,8.0,0.03156278338180554,103.30851129999792
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,44,12,daylight,supplementary_daily_matched,14784,164664,16.093255313227164,10.383647332795677,-0.5762646259610763,0.7484575314719579,0.14636493106714796,0.06499627331407976,0.2783983559479175,140432.0,8.0,0.03156278338180554,103.30851129999792
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,44,48,full,primary,26376,1266048,14.652700882168322,9.044007057384114,0.3085907819457343,0.8176337358923044,0.13326337728597445,0.4436178718057745,,140432.0,8.0,0.03156278338180554,103.30851129999792
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,44,48,full,supplementary_daily_matched,26376,1266048,14.652700882168322,9.044007057384114,0.3085907819457343,0.8176337358923044,0.13326337728597445,0.4436178718057745,0.09291645907394974,140432.0,8.0,0.03156278338180554,103.30851129999792
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,44,48,daylight,primary,18063,658095,18.34457087363147,12.953868321637541,-2.652280996120588,0.6730801916547857,0.16684019479692574,0.4658206978915662,,140432.0,8.0,0.03156278338180554,103.30851129999792
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,44,48,daylight,supplementary_daily_matched,18063,658095,18.34457087363147,12.953868321637541,-2.652280996120588,0.6730801916547857,0.16684019479692574,0.4658206978915662,0.17755538034615437,140432.0,8.0,0.03156278338180554,103.30851129999792
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,44,96,full,primary,26328,2527488,16.77407672471172,10.581929447709479,-0.6368628676050309,0.7612155473831104,0.15255686532914114,0.5867298734627227,,140432.0,8.0,0.03156278338180554,103.30851129999792
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,44,96,full,supplementary_daily_matched,26328,2527488,16.77407672471172,10.581929447709479,-0.6368628676050309,0.7612155473831104,0.15255686532914114,0.5867298734627227,-0.03948996386474013,140432.0,8.0,0.03156278338180554,103.30851129999792
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,44,96,daylight,primary,22393,1313250,21.26296818775609,15.879631362193342,-4.227320395420093,0.5610741473905958,0.19338243335554237,0.5539166457268183,,140432.0,8.0,0.03156278338180554,103.30851129999792
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,44,96,daylight,supplementary_daily_matched,22393,1313250,21.26296818775609,15.879631362193342,-4.227320395420093,0.5610741473905958,0.19338243335554237,0.5539166457268183,0.04590299508768181,140432.0,8.0,0.03156278338180554,103.30851129999792
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,44,144,full,primary,26280,3784320,17.088769853225443,10.593613938637269,-1.4439974917841931,0.7520484116061524,0.15541893625051398,0.6442844098949552,,140432.0,8.0,0.03156278338180554,103.30851129999792
