block,count,Original B_SSE,Expanded A_SSE,Expanded B_SSE,Inverted42_SSE,Inverted43_SSE,Inverted44_SSE,Daily_SSE,site,period,support,horizon,scope,block_hours
9,6912.0,706799.3868104811,3493786.538878335,906414.8144896207,751877.3320954269,983376.4477585669,854992.1007004317,1537248.979500995,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,48
10,6912.0,321767.6207180127,3975071.5698473533,647482.7256737789,288602.312921705,394838.4168155401,333474.95726684254,1140241.1951244136,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,48
11,6912.0,158034.91526160805,4137542.8584291395,427692.2588513705,193085.95032704656,227514.7858125769,189676.337650776,170054.51389821127,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,48
12,6912.0,674323.9890759774,2815594.616200871,1079693.0336498448,578847.7035004393,668859.6989304541,648323.2993971201,2961033.0032313177,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,48
13,6912.0,890300.5263898533,4155537.232267223,1414514.9344154003,676764.1342335963,686542.4540079496,643246.2437234086,3188562.571487678,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,48
14,6912.0,211094.06177036793,4270903.266815136,547327.596146789,230686.67499926095,209743.75484487542,199133.71994132508,590591.8528306998,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,48
15,6912.0,297303.66409653943,3896337.0397359007,450600.64967097715,276694.82237282716,326457.7626638146,303577.74916300486,249744.431096416,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,48
16,6912.0,576040.4020110721,3117885.9406904015,1311415.468113433,297313.07083059783,356794.0509826792,342134.47970478673,3768966.293139487,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,48
17,6912.0,128206.22171962823,3957725.204892609,448067.995235588,140814.23960948657,122562.88561478915,134017.9912701791,300090.5401617367,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,48
18,6912.0,454662.68609662633,3542193.7223092327,666642.744886031,409967.7157258222,443862.3609775782,432488.4218747066,980307.4320311784,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,48
19,6912.0,30061.058039891523,3813756.65395656,336687.48696019873,39172.442149223876,43178.03956072284,41463.56638509377,14918.354504823717,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,48
20,6912.0,28860.619197148128,4238579.074490223,380236.22762277833,60027.63934054815,36336.31538599037,41706.17540086175,6442.0332005977125,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,48
21,6912.0,27340.670840076276,4221763.426361404,357893.5424705371,55397.14170695758,36092.69664029681,39037.9534860727,4569.8422614667525,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,48
22,6853.0,136044.69838736576,4156986.9721121704,435938.9637401062,144259.966985052,138186.244386358,144771.51159787754,85846.9521786413,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,48
23,6864.0,100731.55985447703,4022171.9357976164,408554.2638974575,105373.45864567634,87149.70214835653,112415.0185352913,122881.43133602531,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,48
24,6912.0,29673.85810727403,4029118.688238101,367297.690137849,45799.59857073408,32615.756505794303,34053.56088720628,45747.67740207235,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,48
25,6912.0,265645.16392602184,3133860.43612606,484849.91942143196,208122.11254602656,274516.79159678007,262813.1682172023,699668.2035892372,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,48
26,6912.0,142606.51395590397,3741383.4973373422,567665.3099774137,96461.1905600724,105916.94412345988,94187.17232899474,675143.6847717586,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,48
27,6912.0,231818.69452363419,3223376.058254154,455981.52456197207,248490.2171806736,318642.2166286666,291811.6460609837,435933.82700224617,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,48
28,6912.0,234869.6415439304,3064678.5466386806,661777.012360051,199924.28517676904,312635.8142219135,273044.18341213913,1197501.0987942764,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,48
29,6912.0,71034.95646131663,3651981.1554681705,403337.6662974779,77927.23145609329,79262.25014745397,73740.02360798867,44664.14722857017,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,48
30,6912.0,189163.43700672008,3683570.439335625,530682.1872061492,181972.36835109507,224646.75476362664,210135.96753399263,453558.10160524317,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,48
31,6912.0,27175.50279379586,3624205.8231067713,325156.3402761475,30791.99119818791,32797.781179302954,27723.946257931093,1006.6442386420675,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,48
32,6912.0,210411.83641340944,3448222.2682793317,464420.4042457177,230183.89188596202,247455.78548401874,231273.9100835612,268005.9899256905,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,48
