site,horizon,scope,method,RMSE,MAE,bias,points,origins
NIST_GROUND,12,power-active,Original B,32.315482028242535,21.35956233379351,-0.7000905557560839,146476,13616
NIST_GROUND,12,power-active,Expanded A,33.16399730604202,21.63278984621629,-3.161274743609231,146476,13616
NIST_GROUND,12,power-active,Expanded B,32.315482028242535,21.35956233379351,-0.7000905557560839,146476,13616
NIST_GROUND,12,power-active,Daily,71.94619922734955,49.42502501024058,-0.7544456006444731,146476,13616
NIST_GROUND,12,power-active,Last-value,37.809125638463314,25.21101253447664,-0.6062690297386603,146476,13616
NIST_GROUND,48,full,Inverted mean,31.71770436978626,19.242305558902554,-3.294146331848829,1168305,25333
NIST_GROUND,48,full,Original A,39.65727765324718,27.139012615887623,-0.50012609212651,1168305,25333
NIST_GROUND,48,full,Original B,33.55046190010102,20.80139020038144,0.4995136502608873,1168305,25333
NIST_GROUND,48,full,Expanded A,39.65728701629261,27.13903467660939,-0.5001657141022147,1168305,25333
NIST_GROUND,48,full,Expanded B,33.55046190010102,20.80139020038144,0.4995136502608873,1168305,25333
NIST_GROUND,48,full,Daily,51.19075863942842,25.3412871945254,0.1925617267751141,1168305,25333
NIST_GROUND,48,full,Last-value,51.91695625710885,29.18573986861307,-0.0390903628761325,1168305,25333
NIST_GROUND,48,low-power,Inverted mean,13.743383345633086,7.597698169206382,1.1672018070000283,582742,17064
NIST_GROUND,48,low-power,Original A,24.71323834197331,18.0482732705505,10.673010185514432,582742,17064
NIST_GROUND,48,low-power,Original B,14.659970726849254,9.340570335972668,3.7838433067234662,582742,17064
NIST_GROUND,48,low-power,Expanded A,24.71326480228907,18.048284794466564,10.67292545889717,582742,17064
NIST_GROUND,48,low-power,Expanded B,14.659970726849254,9.340570335972668,3.7838433067234662,582742,17064
NIST_GROUND,48,low-power,Daily,7.680048240308936,1.171249708790511,1.112187975810908,582742,17064
NIST_GROUND,48,low-power,Last-value,25.756321969373765,7.649403101544077,7.547241370280502,582742,17064
NIST_GROUND,48,power-active,Inverted mean,42.64559955099449,30.83081405326835,-7.734001543207916,585563,16675
NIST_GROUND,48,power-active,Original A,50.299313008384274,36.18595654434696,-11.619434826976628,585563,16675
