block,count,Original B_SSE,Expanded A_SSE,Expanded B_SSE,Inverted42_SSE,Inverted43_SSE,Inverted44_SSE,Daily_SSE,site,period,support,horizon,scope,block_hours
34,6771.0,3837528.3743443815,4307095.988746568,3837528.3743443815,4275272.294327919,4230256.024033312,4185522.653221196,8656325.848833239,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,48
35,6900.0,1955714.9139519013,2062178.901164919,1955714.9139519013,1921563.1199847762,1868918.0569035893,1870028.5285683537,13203649.13303329,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,48
36,6840.0,4098559.467648054,3968799.0706490725,4098559.467648054,3350259.9724035165,3540625.8755642446,3432981.115225902,30897261.10678945,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,48
37,6615.0,917243.4478688187,1433525.4074969466,917243.4478688187,2926036.7777156592,2837285.9422637774,3595557.607891655,7946436.341450312,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,48
38,3060.0,2343260.3977012895,2181984.921756965,2343260.3977012895,1785170.4001568118,2162060.212932864,1973446.1113108103,1015910.4238518005,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,48
39,2920.0,8024807.631960998,7380243.006538414,8024807.631960998,7310625.766841008,6900663.063817776,6810710.335667705,12513345.357105559,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,48
40,6637.0,4728215.018272629,5195186.155303222,4728215.018272629,4672931.07120406,4727624.901181247,4950196.1252884,12990728.607545769,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,48
41,2609.0,3634769.198256226,2575919.131710445,3634769.198256226,1285549.9962190297,1450320.6055304674,1227941.941668182,5779174.813308158,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,48
42,1497.0,3148303.7434004988,2021116.60584589,3148303.7434004988,2533910.2420113683,1665792.188087767,1917128.5272874692,9858080.42967888,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,48
43,6363.0,3979069.269118274,4113868.7170950533,3979069.269118274,3713008.8580659186,3547844.278927209,3593572.687170766,18373345.629115686,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,48
