block,count,Original A_SSE,Original B_SSE,Expanded A_SSE,Expanded B_SSE,Daily_SSE,Last-value_SSE,Inverted42_SSE,Joint-patch Transformer42_SSE,Joint-patch Transformer43_SSE,Joint-patch Transformer44_SSE,site,period,support,horizon,scope,block_hours
4,33328.0,13121.511025866172,864.5440672806526,13121.511025866172,864.5440672806526,0.21669405029540997,485799.41061126546,7972.452971886778,2663.8525424798218,2633.348999735615,1992.5662270476973,Sanyo,Alice2018Test,S1_new_origins,144,low-power,72
5,11056.0,4376.200500324184,222.49842931456988,4376.200500324184,222.49842931456988,0.061136529282156356,160555.77876078457,1836.035259429353,1727.5807618223732,1209.1125544513059,1108.6856713080276,Sanyo,Alice2018Test,S1_new_origins,144,low-power,72
6,32322.0,12361.706847136644,675.244511514297,12361.706847136644,675.244511514297,0.035685494527880425,456822.894671907,3930.8627085623025,3574.831439399381,3031.9022475755787,2544.6259347423775,Sanyo,Alice2018Test,S1_new_origins,144,low-power,72
7,31698.0,29264.85081615526,2030.8477707222482,29264.85081615526,2030.8477707222482,0.35009132757470646,400450.286342553,16192.67242944291,8768.70935691955,6112.882039195759,5464.843926709296,Sanyo,Alice2018Test,S1_new_origins,144,low-power,72
0,20592.0,10994.869687912851,380.6959273128175,10994.869687912851,380.6959273128175,21.658493146288283,212972.85502690266,6382.355018464692,5917.256475229383,4515.658725593824,4228.917873745198,Sanyo,Alice2018Test,S2_new_origins,144,full,24
1,20592.0,13506.164278902354,386.9451592071953,13506.164278902354,386.9451592071953,14.095676934364755,210596.05722442106,5963.594692937849,7500.723084225878,5596.77329988231,6018.334795710118,Sanyo,Alice2018Test,S2_new_origins,144,full,24
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sanyo,Alice2018Test,S2_new_origins,144,full,24
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sanyo,Alice2018Test,S2_new_origins,144,full,24
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sanyo,Alice2018Test,S2_new_origins,144,full,24
5,20736.0,10544.849289342952,565.1698269470648,10544.849289342952,565.1698269470648,10.464088879182421,228686.14675285036,6020.93156094839,6439.699059078452,4539.501801961894,4424.681840968553,Sanyo,Alice2018Test,S2_new_origins,144,full,24
