block,count,Original A_SSE,Original B_SSE,Expanded A_SSE,Expanded B_SSE,Inverted42_SSE,Inverted43_SSE,Inverted44_SSE,Daily_SSE,Last-value_SSE,site,period,support,horizon,scope,block_hours
13,41472.0,11162380.319572588,422997.5531597933,34738304.393810116,3639752.6296057166,3895499.36825579,3205417.2875610967,3522827.2890179,461926.60772574827,93765370.99758817,YULARA_COMBINED,2018,complete_H144,144,full,24
14,41472.0,13015973.952334773,172841.477023852,34357469.407080665,3059223.201983393,7847289.125208352,7713794.888456495,8113191.461053489,10669.869544286415,93648710.08027998,YULARA_COMBINED,2018,complete_H144,144,full,24
15,41472.0,11387778.340630565,742266.4618665387,32864341.886701103,3202642.344804359,7357965.5042815665,6185584.6545814015,6874008.390454057,726827.2796269228,88674782.74385269,YULARA_COMBINED,2018,complete_H144,144,full,24
16,41472.0,12373535.088986343,1819153.8424526188,30548473.99903318,3805351.780109863,9722719.515846979,8504089.471212916,9874097.701640531,2183769.910360949,80862682.32997636,YULARA_COMBINED,2018,complete_H144,144,full,24
17,41472.0,26735654.738839358,12037890.625808585,21000636.15687281,11149008.559609162,20275276.52211259,19199937.588721696,22471877.418622073,14998118.904267794,39461670.164981864,YULARA_COMBINED,2018,complete_H144,144,full,24
18,41472.0,21084262.678143803,4330450.305080357,25764166.869911093,8062081.312997284,17858734.27383399,15783968.237368302,18175529.917493835,7762639.426922277,63265130.254472815,YULARA_COMBINED,2018,complete_H144,144,full,24
19,41472.0,15870701.657168893,6837432.38184406,24365109.827398166,7033266.047849253,13710422.321193378,12646394.548524134,14610326.411246896,11101576.787518725,62654948.69253716,YULARA_COMBINED,2018,complete_H144,144,full,24
20,41472.0,17901164.25780739,5049703.876732444,27975896.882604502,6885239.632646412,13877028.246695697,11876583.93981686,13707068.653261285,8544348.548438612,72798695.34152743,YULARA_COMBINED,2018,complete_H144,144,full,24
21,41472.0,9304803.29204497,1891363.4344093238,29579525.800961018,4512930.089565403,6267432.494232063,6612402.386277269,7751308.407688853,4584342.820639253,81257496.32934724,YULARA_COMBINED,2018,complete_H144,144,full,24
22,41472.0,8705110.331263477,550209.107410959,29935675.32047555,3194046.7815777515,5896818.151413631,5563105.642042822,6666515.027280062,379938.24216034485,81705738.66136608,YULARA_COMBINED,2018,complete_H144,144,full,24
23,41472.0,13766506.652941816,1604235.6526294819,29385202.44687775,3700772.837898936,12517963.31913628,10535003.466474434,11873941.32506485,1984448.6308223002,77751979.84133701,YULARA_COMBINED,2018,complete_H144,144,full,24
24,41472.0,19084995.121213626,5594255.755279462,29075236.943441346,7310026.464119839,15150346.777343914,14547052.249391364,15964346.783412369,6399502.656255283,73383366.93863145,YULARA_COMBINED,2018,complete_H144,144,full,24
25,41472.0,35397188.81646616,21576523.318109237,17829846.339361936,19431737.56155848,27782138.58814932,25760925.16089985,29261976.539449487,29821393.57144223,8292720.778330498,YULARA_COMBINED,2018,complete_H144,144,full,24
26,41472.0,12292370.031139579,21826055.690035246,28657713.62799473,21943845.812320914,8966022.865700526,9252033.864302846,9855997.029313954,31633432.342139836,77078798.30419071,YULARA_COMBINED,2018,complete_H144,144,full,24
