block,count,Original A_SSE,Original B_SSE,Expanded A_SSE,Expanded B_SSE,Inverted42_SSE,Inverted43_SSE,Inverted44_SSE,Daily_SSE,Last-value_SSE,site,period,support,horizon,scope,block_hours
48,41328.0,65778071.54695345,75265075.02093251,65778446.87239709,75265075.02093251,95972773.38401112,88269901.01651125,104776980.29826148,161671728.00773066,75502306.1988493,NIST_GROUND,2017,complete_H144,144,full,24
49,41472.0,105748641.82899876,42934811.15878904,105749221.11956103,42934811.15878904,76069980.20264359,71652296.28274463,78567087.46942125,45966188.46148268,162660992.21785215,NIST_GROUND,2017,complete_H144,144,full,24
50,41472.0,138760308.71505782,80961558.29935269,138760192.29993752,80961558.29935269,91882714.38113695,95265848.73469086,90925521.86562009,118277455.01263602,463150135.47316456,NIST_GROUND,2017,complete_H144,144,full,24
51,41472.0,80232481.54781449,28473630.116145693,80232639.46746252,28473630.116145693,83203729.64252847,81353136.91114837,89781097.91901366,46578310.90350666,257143902.78750873,NIST_GROUND,2017,complete_H144,144,full,24
52,41472.0,138552799.497063,54842444.94435103,138553043.4246397,54842444.94435103,105993097.5029258,109126447.82842126,105886973.28736193,50010288.94892344,424413292.23932755,NIST_GROUND,2017,complete_H144,144,full,24
53,41472.0,134575616.387568,23630625.67597105,134575144.61227596,23630625.67597105,81250683.1238334,83112415.20141385,82923323.43883452,22401628.865636334,465016342.40278786,NIST_GROUND,2017,complete_H144,144,full,24
54,41472.0,129340788.15535526,13601762.726467438,129340481.51505078,13601762.726467438,74002078.47551632,75889107.13745691,73771399.84490992,1271372.0348498,418174644.3969627,NIST_GROUND,2017,complete_H144,144,full,24
55,41472.0,100968040.60630563,29281567.11188217,100968088.32175823,29281567.11188217,97491203.29500413,95760639.15086107,104901481.9897447,39092159.851398714,295200605.438425,NIST_GROUND,2017,complete_H144,144,full,24
56,41472.0,119374747.32731569,38367749.015874766,119374816.53217022,38367749.015874766,100937007.03555664,99938989.67486066,105344682.12775081,45778493.06173765,408208267.1366444,NIST_GROUND,2017,complete_H144,144,full,24
57,41472.0,103960963.22470069,26818549.914234094,103960787.21373639,26818549.914234094,98479682.74600574,95126530.4115215,97657066.02682984,20439464.120156456,343358938.9742251,NIST_GROUND,2017,complete_H144,144,full,24
58,41472.0,104191069.17967562,20802115.12121546,104190439.06844841,20802115.12121546,77510200.27800043,78024913.46642452,77850775.47310236,18556787.320938654,392489393.48179483,NIST_GROUND,2017,complete_H144,144,full,24
59,41472.0,111312623.62061656,13065718.602238592,111312461.19691242,13065718.602238592,92158031.30576524,92505815.67591411,91339645.00282043,2339014.805781361,358113602.0588873,NIST_GROUND,2017,complete_H144,144,full,24
60,41472.0,78143155.7939967,24838987.06181497,78143486.73543175,24838987.06181497,79174032.2820883,74657992.09330532,79711113.04184848,35356949.2329124,206900312.17990017,NIST_GROUND,2017,complete_H144,144,full,24
